Predictor variable,Categorical,Sample average
bd,false,66.76923076923077
bio1,false,159.46153846153845
bio12,false,650.9487179487179
bio15,false,46.56410256410256
bio2,false,87.92307692307692
bio4,false,2737.846153846154
bio6,false,77.82051282051282
cec,false,66.76923076923077
clay,false,66.76923076923077
dep,false,66.76923076923077
ph,false,66.76923076923077
sand,false,66.76923076923077
soc,false,66.76923076923077
