X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
1.0,1.0,train,0.0045557582294743874,92.21836740506895,0.8177921113030406
2.0,2.0,train,0.0027342491305736793,80.36471809784122,0.7292705411275049
3.0,3.0,train,0.0023923639446661177,76.7728642449461,0.7021066707777077
4.0,4.0,train,0.002822784294979843,81.20539834243631,0.735516020197645
5.0,5.0,train,8.043658592291009E-4,28.702969985156248,0.4421025830365349
6.0,6.0,train,0.005202330307178544,98.8646983424376,0.8367407099782579
7.0,7.0,train,0.0032015631543308586,83.59813399584581,0.7592746804779931
8.0,8.0,train,0.0023612143255333285,76.05837687872014,0.6993582841098563
9.0,9.0,train,0.004649928050888762,94.52702236162374,0.8208209848381224
10.0,10.0,train,0.0014739085932837011,54.77112412077271,0.5921802270315787
11.0,11.0,train,0.002334856845864277,75.82211655122738,0.6969927939197862
12.0,12.0,train,0.002812831143405706,80.92311757706698,0.7348283151533029
13.0,13.0,train,0.0014064311086313867,51.58051521685576,0.5808158108503753
14.0,14.0,train,0.0013688455696400912,49.76613546466047,0.5742067535447699
15.0,15.0,train,1.8838974201689917E-4,10.72925571341062,0.15654349208349788
16.0,16.0,train,0.00486706079990923,97.84196986028078,0.8274352211602862
17.0,17.0,train,0.0010825258068739901,38.25281290508299,0.516085677949696
18.0,18.0,train,0.0019812340212835805,70.56783681808216,0.6612316734902955
19.0,19.0,train,5.8613701062660035E-5,4.291130170834255,0.05459253306635776
20.0,20.0,train,2.419586431639332E-4,13.016252421666227,0.19248855042666874
21.0,21.0,train,8.796672104772902E-4,31.155601754105984,0.4642750524189699
22.0,22.0,train,0.002862124302394298,81.7776516582828,0.7381996285802284
23.0,23.0,train,8.46188942701044E-4,30.159225421216615,0.4546388905439554
24.0,24.0,train,0.0014530913490476193,52.86515757252102,0.5887405115605706
25.0,25.0,train,0.0013585918109406008,49.2210352264593,0.5723673892532111
26.0,26.0,train,0.0017260204993374139,65.34545856137453,0.6296898205309579
27.0,27.0,train,2.016611594051945E-6,0.1753030358823673,0.001982783816524547
28.0,28.0,train,0.006148067846510621,99.99999859541074,0.8582956486081957
29.0,29.0,train,7.40026386872443E-4,26.54153332996536,0.42165051291471184
30.0,30.0,train,2.3106981520250896E-4,12.589566477214527,0.1854323311851981
31.0,31.0,train,0.0012185933510485659,44.579496506092696,0.5455645140298653
32.0,32.0,train,5.240527083801174E-4,21.359317816803596,0.3404936536170167
33.0,33.0,train,0.0035092497345683275,85.30283002802288,0.7756458430134069
34.0,34.0,train,9.588358960753436E-4,33.38394570504021,0.48576199145128846
35.0,35.0,train,0.0024296545263038025,77.25887024985019,0.7053315146889858
36.0,36.0,train,0.004650535600986769,95.45260712641436,0.8208401991521457
37.0,37.0,train,0.0047821469399799985,96.87365595390109,0.8249075933379739
38.0,38.0,train,0.005024469174588208,98.34441159031599,0.8319327923981689
39.0,39.0,train,0.0045901892126601375,93.13528962058037,0.818911350478279
