Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
2.52264E-4,19.004601072,0.218515713,0.075102777,0.076923077,0
2.54388E-4,19.257886838,0.219950664,0.07410007,0.076923077,0
2.56051E-4,19.512978882,0.221070849,0.073097363,0.076923077,0
2.61667E-4,19.772157658,0.224829364,0.072094656,0.076923077,0
2.65322E-4,20.009710975,0.227256112,0.071192219,0.076923077,0
2.71294E-4,20.250691303,0.231188783,0.070289782,0.076923077,0
2.78668E-4,20.525635128,0.235989972,0.069287075,0.076923077,0
2.8365E-4,20.750836381,0.239199636,0.068484909,0.076923077,0
2.9031E-4,21.009584517,0.243448402,0.067582473,0.076923077,0
2.96415E-4,21.273083254,0.247302145,0.066680036,0.076923077,0
2.99993E-4,21.512493187,0.249542009,0.06587787,0.076923077,0
3.06886E-4,21.755597462,0.253820618,0.065075704,0.076923077,0
3.13474E-4,22.003863078,0.257864648,0.064273539,0.076923077,0
3.17765E-4,22.257010131,0.260474901,0.063471373,0.076923077,0
3.24014E-4,22.513578773,0.264243351,0.062669207,0.076923077,0
3.33116E-4,22.776971566,0.269664687,0.061867041,0.076923077,0
3.36887E-4,23.011614702,0.271887411,0.061165146,0.076923077,0
3.41102E-4,23.282668014,0.274356007,0.06036298,0.076923077,0
3.46938E-4,23.523698455,0.277746448,0.059661085,0.076923077,0
3.51154E-4,23.768154268,0.28017576,0.05895919,0.076923077,0
3.59856E-4,24.017597182,0.285139281,0.058257295,0.076923077,0
3.61116E-4,24.269815966,0.285852397,0.0575554,0.076923077,0
3.70186E-4,24.526813973,0.290943127,0.056853504,0.076923077,0
3.73351E-4,24.750055269,0.292702241,0.05625188,0.076923077,0
3.78876E-4,25.01315571,0.295752795,0.055549985,0.076923077,0
3.89096E-4,25.282174301,0.301326704,0.05484809,0.076923077,0
3.95074E-4,25.517878516,0.304546438,0.054246465,0.076923077,0
3.98666E-4,25.756610963,0.306466446,0.053644841,0.153846154,0
4.08451E-4,26.039431634,0.311644539,0.052942946,0.153846154,0
4.15703E-4,26.285775939,0.315432159,0.052341322,0.153846154,0
4.28506E-4,26.540941438,0.322018939,0.051739697,0.153846154,0
4.33501E-4,26.757081932,0.324554372,0.051238344,0.153846154,0
4.4902E-4,27.022413107,0.332311779,0.050636719,0.153846154,0
4.55889E-4,27.29375005,0.335688907,0.050035095,0.153846154,0
4.57341E-4,27.5222682,0.336398442,0.049533741,0.153846154,0
4.66023E-4,27.753588553,0.340609426,0.049032387,0.153846154,0
4.716E-4,28.035138551,0.343286435,0.048430763,0.153846154,0
4.85224E-4,28.274654232,0.349735093,0.047929409,0.153846154,0
4.90518E-4,28.518992052,0.352206935,0.047428056,0.153846154,0
4.96556E-4,28.765730779,0.35500312,0.046926702,0.153846154,0
5.01479E-4,29.015633607,0.35726532,0.046425348,0.153846154,0
5.05759E-4,29.267781181,0.359219399,0.045923995,0.153846154,0
5.13819E-4,29.52335082,0.362866727,0.045422641,0.153846154,0
5.18933E-4,29.782376413,0.365159493,0.044921287,0.153846154,0
5.27914E-4,30.044573929,0.3691463,0.044419934,0.153846154,0
5.32559E-4,30.256833037,0.37118865,0.044018851,0.153846154,0
5.35855E-4,30.524382435,0.372629768,0.043517497,0.153846154,0
5.46084E-4,30.795643172,0.37706105,0.043016144,0.153846154,0
5.4966E-4,31.015017161,0.378595476,0.042615061,0.230769231,0
5.53253E-4,31.291058507,0.380129263,0.042113707,0.230769231,0
5.5921E-4,31.514255627,0.382656291,0.041712624,0.230769231,0
5.69227E-4,31.797683594,0.386859006,0.04121127,0.307692308,0
5.73273E-4,32.026225364,0.388540281,0.040810188,0.307692308,0
5.78182E-4,32.257019297,0.390567726,0.040409105,0.307692308,0
5.84782E-4,32.548244195,0.393273098,0.039907751,0.384615385,0
6.03605E-4,32.787351625,0.400857473,0.039506668,0.384615385,0
6.10025E-4,33.029702627,0.403401057,0.039105585,0.384615385,0
6.15472E-4,33.274779233,0.405542359,0.038704502,0.384615385,0
6.18048E-4,33.521809003,0.406549383,0.038303419,0.384615385,0
6.31284E-4,33.773128564,0.411671634,0.037902336,0.384615385,0
6.37386E-4,34.02704607,0.414003597,0.037501253,0.384615385,0
6.40222E-4,34.28272019,0.415081075,0.03710017,0.384615385,0
6.46867E-4,34.540121042,0.417590058,0.036699088,0.384615385,0
6.54115E-4,34.800925492,0.420302479,0.036298005,0.384615385,0
6.71397E-4,35.066169708,0.426669171,0.035896922,0.384615385,0
6.79337E-4,35.269153121,0.429547452,0.035596109,0.384615385,0
6.84923E-4,35.54161048,0.431555502,0.035195027,0.384615385,0
6.97794E-4,35.818559177,0.43612821,0.034793944,0.384615385,0
6.98421E-4,36.027976715,0.43634897,0.034493131,0.384615385,0
7.08389E-4,36.310913542,0.439837759,0.034092049,0.384615385,0
7.10286E-4,36.523808452,0.440496644,0.033791236,0.384615385,0
7.15816E-4,36.809444999,0.44240876,0.033390153,0.384615385,0
7.20743E-4,37.025059478,0.444101615,0.033089341,0.384615385,0
7.26909E-4,37.31515416,0.446205823,0.032688258,0.384615385,0
7.41085E-4,37.535932278,0.450983268,0.032387446,0.384615385,0
7.56448E-4,37.761414944,0.456068514,0.032086634,0.384615385,0
7.61983E-4,38.065267725,0.457877595,0.031685551,0.384615385,0
7.67101E-4,38.295187107,0.459539843,0.031384739,0.384615385,0
7.88162E-4,38.528773064,0.466273728,0.031083927,0.384615385,0
7.97193E-4,38.767154,0.469109971,0.030783114,0.384615385,0
8.09219E-4,39.0083328,0.472840477,0.030482302,0.384615385,0
8.15512E-4,39.252576943,0.474771855,0.03018149,0.384615385,0
8.34055E-4,39.582544807,0.480381338,0.029780407,0.384615385,0
8.37817E-4,39.750028225,0.48150487,0.029579866,0.384615385,0
8.43396E-4,40.002478969,0.483162006,0.029279053,0.384615385,0
8.49637E-4,40.256832737,0.48500323,0.028978241,0.384615385,0
8.66628E-4,40.514840316,0.489950188,0.028677429,0.384615385,0
8.73553E-4,40.776650097,0.491939408,0.028376617,0.384615385,0
8.82093E-4,41.041168865,0.494370937,0.028075805,0.384615385,0
8.88264E-4,41.307171794,0.496113709,0.027774992,0.384615385,0
9.0064E-4,41.576229869,0.499572842,0.02747418,0.384615385,0
9.03323E-4,41.756823723,0.500316319,0.027273639,0.384615385,0
9.07832E-4,42.028806013,0.501561188,0.026972827,0.384615385,0
9.16953E-4,42.3035417,0.50406047,0.026672014,0.384615385,0
9.42736E-4,42.585951927,0.510991111,0.026371202,0.384615385,0
9.50254E-4,42.775361081,0.512975871,0.026170661,0.384615385,0
9.63018E-4,43.063240823,0.516308619,0.025869849,0.384615385,0
9.67146E-4,43.256421552,0.517376692,0.025669307,0.384615385,0
9.82063E-4,43.549102447,0.521197461,0.025368495,0.384615385,0
9.86894E-4,43.845040014,0.522422086,0.025067683,0.384615385,0
1.00316E-3,44.044280717,0.526499274,0.024867141,0.384615385,0
1.01492E-3,44.347860036,0.529404433,0.024566329,0.384615385,0
1.02418E-3,44.552412024,0.531665941,0.024365788,0.384615385,0
1.03485E-3,44.758359642,0.534245391,0.024165246,0.384615385,0
1.04096E-3,45.069891538,0.535710127,0.023864434,0.384615385,0
1.04769E-3,45.278790258,0.537313197,0.023663893,0.384615385,0
1.06498E-3,45.597799742,0.541380147,0.02336308,0.384615385,0
1.08488E-3,45.812916493,0.545971826,0.023162539,0.384615385,0
1.09474E-3,46.031538243,0.548214583,0.022961997,0.384615385,0
1.10052E-3,46.251396779,0.549518907,0.022761456,0.384615385,0
1.11088E-3,46.583414858,0.551837099,0.022460644,0.384615385,0
1.11922E-3,46.806968292,0.553684722,0.022260102,0.384615385,0
1.12889E-3,47.03252305,0.555809841,0.022059561,0.384615385,0
1.13375E-3,47.25917347,0.556870973,0.021859019,0.384615385,0
1.14198E-3,47.600940771,0.558654645,0.021558207,0.384615385,0
1.14807E-3,47.830193951,0.559965557,0.021357666,0.384615385,0
1.16129E-3,48.061571992,0.562785641,0.021157124,0.384615385,0
1.17807E-3,48.297180903,0.566311137,0.020956583,0.384615385,0
1.17953E-3,48.533063468,0.566615764,0.020756041,0.384615385,0
1.1891E-3,48.77044924,0.56859874,0.0205555,0.384615385,0
1.1974E-3,49.009516794,0.570305156,0.020354958,0.384615385,0
1.21348E-3,49.251610256,0.573569926,0.020154417,0.384615385,0
1.22972E-3,49.61797688,0.576818725,0.019853605,0.384615385,0
1.23904E-3,49.865355243,0.57866133,0.019653063,0.384615385,0
1.25524E-3,50.115787842,0.581824663,0.019452522,0.384615385,0
1.25691E-3,50.367072659,0.582147504,0.01925198,0.384615385,0
1.26009E-3,50.618922341,0.58276263,0.019051439,0.384615385,0
1.27311E-3,50.872447561,0.585260487,0.018850897,0.384615385,0
1.28949E-3,51.001396372,0.588359129,0.018750627,0.384615385,0
1.29923E-3,51.260849439,0.59018165,0.018550085,0.384615385,0
1.30223E-3,51.521177593,0.590739412,0.018349544,0.384615385,0
1.33015E-3,51.784466277,0.595857169,0.018149002,0.384615385,0
1.33826E-3,52.051518307,0.597319749,0.017948461,0.461538462,0
1.34138E-3,52.319733456,0.597880123,0.017747919,0.461538462,0
1.35996E-3,52.591302923,0.601183594,0.017547378,0.461538462,0
1.3709E-3,52.865274201,0.603102066,0.017346836,0.461538462,0
1.37204E-3,53.002478069,0.603301046,0.017246566,0.461538462,0
1.37582E-3,53.277271583,0.603960325,0.017046024,0.461538462,0
1.37942E-3,53.552958771,0.604584406,0.016845483,0.461538462,0
1.3836E-3,53.829570119,0.605306797,0.016644941,0.461538462,0
1.39356E-3,54.107552928,0.607019913,0.0164444,0.461538462,0
1.42493E-3,54.392474106,0.612316973,0.016243858,0.461538462,0
1.43281E-3,54.535755555,0.613626422,0.016143588,0.461538462,0
1.44602E-3,54.824261114,0.615800022,0.015943046,0.461538462,0
1.46594E-3,55.116555861,0.619031259,0.015742505,0.461538462,0
1.47636E-3,55.264191962,0.620700179,0.015642234,0.461538462,0
1.48762E-3,55.560623541,0.622487114,0.015441693,0.461538462,0
1.50773E-3,55.861530486,0.625637134,0.015241151,0.461538462,0
1.52514E-3,56.014044398,0.628322385,0.01514088,0.461538462,0
1.5493E-3,56.323156368,0.631985347,0.014940339,0.461538462,0
1.57493E-3,56.637104949,0.635792893,0.014739797,0.461538462,0
1.58561E-3,56.795666393,0.637357425,0.014639527,0.461538462,0
1.63175E-3,57.119360862,0.643960798,0.014438985,0.461538462,0
1.63904E-3,57.283264445,0.644980889,0.014338715,0.461538462,0
1.65699E-3,57.613773193,0.647470952,0.014138173,0.461538462,0
1.66309E-3,57.780082488,0.648310257,0.014037902,0.461538462,0
1.71339E-3,58.118188705,0.655073205,0.013837361,0.461538462,0
1.72506E-3,58.290695046,0.656605785,0.01373709,0.461538462,0
1.75828E-3,58.642238243,0.660893377,0.013536549,0.461538462,0
1.77045E-3,58.819282822,0.662436772,0.013436278,0.461538462,0
1.7813E-3,59.175378159,0.663802242,0.013235736,0.461538462,0
1.78349E-3,59.353727657,0.664076927,0.013135466,0.461538462,0
1.79063E-3,59.532790792,0.664967176,0.013035195,0.461538462,0
1.80062E-3,59.892053533,0.666205092,0.012834654,0.461538462,0
1.80295E-3,60.072348182,0.66649242,0.012734383,0.461538462,0
1.81292E-3,60.253640215,0.667717549,0.012634112,0.461538462,0
1.82185E-3,60.617593658,0.668807385,0.012433571,0.538461538,0
1.82509E-3,60.800102488,0.669200059,0.0123333,0.538461538,0
1.82711E-3,61.165414853,0.669444983,0.012132758,0.538461538,0
1.82726E-3,61.348140924,0.669463348,0.012032488,0.615384615,0
1.83062E-3,61.531203119,0.669869897,0.011932217,0.615384615,0
1.85644E-3,61.902011352,0.672959781,0.011731676,0.615384615,0
1.85768E-3,62.087779435,0.673106636,0.011631405,0.615384615,0
1.86876E-3,62.274655434,0.674413666,0.011531134,0.615384615,0
1.88618E-3,62.651748252,0.676447663,0.011330593,0.615384615,0
1.90565E-3,62.842312935,0.678690942,0.011230322,0.615384615,0
1.90571E-3,63.032884103,0.678698363,0.011130051,0.615384615,0
1.90916E-3,63.414613231,0.679092949,0.01092951,0.615384615,0
1.9103E-3,63.605642774,0.679222018,0.010829239,0.615384615,0
1.9106E-3,63.796702681,0.679256645,0.010728968,0.692307692,0
1.93787E-3,64.182073333,0.682337029,0.010528427,0.692307692,0
1.93796E-3,64.375869166,0.68234639,0.010428156,0.692307692,0
1.95345E-3,64.57121377,0.684069208,0.010327885,0.692307692,0
1.96758E-3,64.767972051,0.685625518,0.010227615,0.692307692,0
1.97148E-3,65.162042724,0.686051461,0.010027073,0.692307692,0
1.97428E-3,65.359470547,0.686357276,0.009926802,0.692307692,0
1.9802E-3,65.557490384,0.687001469,0.009826532,0.692307692,0
1.99348E-3,65.756838234,0.688436949,0.009726261,0.692307692,0
1.99814E-3,66.156378619,0.688938044,0.009525719,0.692307692,0
2.00298E-3,66.356676348,0.689455645,0.009425449,0.692307692,0
2.0237E-3,66.559046311,0.691655054,0.009325178,0.692307692,0
2.03031E-3,66.762077439,0.692350253,0.009224907,0.692307692,0
2.04063E-3,67.169586048,0.693429124,0.009024366,0.692307692,0
2.04859E-3,67.374444888,0.694255843,0.008924095,0.692307692,0
2.05827E-3,67.580272138,0.695255979,0.008823824,0.692307692,0
2.06573E-3,67.786844737,0.696021301,0.008723554,0.692307692,0
2.12459E-3,68.21069241,0.701933461,0.008523012,0.692307692,0
2.12697E-3,68.423389199,0.702167001,0.008422741,0.692307692,0
2.13502E-3,68.636890912,0.702956324,0.008322471,0.692307692,0
2.13749E-3,68.850639752,0.703197822,0.0082222,0.692307692,0
2.16757E-3,69.067396822,0.706106362,0.008121929,0.692307692,0
2.16863E-3,69.284260034,0.706207945,0.008021658,0.692307692,0
2.17696E-3,69.501955682,0.707002205,0.007921388,0.692307692,0
2.19346E-3,69.939865194,0.708563839,0.007720846,0.692307692,0
2.19883E-3,70.159747827,0.709068571,0.007620576,0.692307692,0
2.21706E-3,70.381453598,0.710769012,0.007520305,0.692307692,0
2.23438E-3,70.604891788,0.712366524,0.007420034,0.692307692,0
2.27558E-3,70.832450062,0.716095795,0.007319763,0.692307692,0
2.32437E-3,71.064887218,0.720388722,0.007219493,0.692307692,0
2.32548E-3,71.297435433,0.720484932,0.007119222,0.692307692,0
2.32722E-3,71.530157119,0.720635077,0.007018951,0.692307692,0
2.32783E-3,71.762940222,0.720688197,0.00691868,0.692307692,0
2.33488E-3,72.229601679,0.721296841,0.006718139,0.692307692,0
2.34983E-3,72.464584336,0.722577372,0.006617868,0.692307692,0
2.35304E-3,72.699888301,0.722851204,0.006517598,0.692307692,0
2.38961E-3,72.938849007,0.725929962,0.006417327,0.692307692,0
2.39578E-3,73.178427051,0.726442986,0.006317056,0.692307692,0
2.41736E-3,73.420163464,0.728221656,0.006216785,0.692307692,0
2.41832E-3,73.661995827,0.728300189,0.006116515,0.692307692,0
2.44466E-3,73.906461962,0.730438311,0.006016244,0.692307692,0
2.45081E-3,74.151543005,0.730932662,0.005915973,0.692307692,0
2.45671E-3,74.397214171,0.731405386,0.005815702,0.692307692,0
2.45682E-3,74.642895743,0.731413706,0.005715432,0.692307692,0
2.465E-3,74.889395612,0.73206643,0.005615161,0.692307692,0
2.55261E-3,75.144656838,0.738861227,0.00551489,0.692307692,0
2.55338E-3,75.399994939,0.738919323,0.005414619,0.692307692,0
2.57968E-3,75.657963105,0.740891425,0.005314349,0.692307692,0
