Predictor variable,Categorical,Sample average
bd,false,64.15384615384616
bio1,false,156.07692307692307
bio12,false,906.0769230769231
bio15,false,59.69230769230769
bio2,false,104.53846153846153
bio4,false,3137.6923076923076
bio6,false,66.07692307692308
cec,false,64.15384615384616
clay,false,64.15384615384616
dep,false,64.15384615384616
ph,false,64.15384615384616
sand,false,64.15384615384616
soc,false,64.15384615384616
