"","row_names","cc","cn","gf","he","mp"
"1","Leucadendron argenteum",3.05187605765303,3.05187605765303,3.05187605765303,3.05187605765303,3.05187605765303
"2","Leucadendron argenteum",0.000190348369026084,0.000247301161230087,0.000075742545369668,0.000186613759701231,0.0000594036295734376
"3","Leucadendron argenteum",95.7623854817062,95.7623854817062,95.7623854817062,95.7623854817062,95.7623854817062
"4","Leucadendron argenteum",0.299935811402229,0.299935811402229,0.299935811402229,0.299935811402229,0.299935811402229
"5","Leucadendron argenteum",3.08455388924549,3.08455388924549,3.08455388924549,3.08455388924549,3.08455388924549
"6","Leucadendron argenteum",0.853124817646029,0.853124817646029,0.853124817646029,0.853124817646029,0.853124817646029
"7","Protea compacta",3.38448970064772,3.38448970064772,3.38448970064772,3.38448970064772,3.38448970064772
"8","Protea compacta",0.000393767870689152,0.000357705549396044,0.000210305187605765,0.000322810293516952,0.000357822255937445
"9","Protea compacta",95.7623854817062,95.7623854817062,95.7623854817062,95.7623854817062,95.7623854817062
"10","Protea compacta",0.299935811402229,0.299935811402229,0.299935811402229,0.299935811402229,0.299935811402229
"11","Protea compacta",3.08455388924549,3.08455388924549,3.08455388924549,3.08455388924549,3.08455388924549
"12","Protea compacta",0.853124817646029,0.853124817646029,0.853124817646029,0.853124817646029,0.853124817646029
