"","filename","species","current","cc","cn","gf","he","mp"
"61","Leucadendron corymbosum_total_curr_2010.csv","Leucadendron corymbosum",252000,252000,252000,252000,252000,252000
"62","Leucadendron corymbosum_total_curr_2040.csv","Leucadendron corymbosum",252000,252000,252000,252000,252000,252000
"63","Leucadendron corymbosum_total_curr_2070.csv","Leucadendron corymbosum",252000,252000,252000,252000,252000,252000
"64","Leucadendron daphnoides_total_curr_2010.csv","Leucadendron daphnoides",252000,252000,252000,252000,252000,252000
"65","Leucadendron daphnoides_total_curr_2040.csv","Leucadendron daphnoides",252000,252000,252000,252000,252000,252000
"66","Leucadendron daphnoides_total_curr_2070.csv","Leucadendron daphnoides",252000,252000,252000,252000,252000,252000
"67","Leucadendron diemontianum_total_curr_2010.csv","Leucadendron diemontianum",252000,252000,252000,252000,252000,252000
"68","Leucadendron diemontianum_total_curr_2040.csv","Leucadendron diemontianum",252000,252000,252000,252000,252000,252000
"69","Leucadendron diemontianum_total_curr_2070.csv","Leucadendron diemontianum",252000,252000,252000,252000,252000,252000
"70","Leucadendron dregei_total_curr_2010.csv","Leucadendron dregei",252000,252000,252000,252000,252000,252000
"71","Leucadendron dregei_total_curr_2040.csv","Leucadendron dregei",252000,252000,252000,252000,252000,252000
"72","Leucadendron dregei_total_curr_2070.csv","Leucadendron dregei",252000,252000,252000,252000,252000,252000
"73","Leucadendron dubium_total_curr_2010.csv","Leucadendron dubium",252000,252000,252000,252000,252000,252000
"74","Leucadendron dubium_total_curr_2040.csv","Leucadendron dubium",252000,252000,252000,252000,252000,252000
"75","Leucadendron dubium_total_curr_2070.csv","Leucadendron dubium",252000,252000,252000,252000,252000,252000
"76","Leucadendron elimense_total_curr_2010.csv","Leucadendron elimense",252000,252000,252000,252000,252000,252000
"77","Leucadendron elimense_total_curr_2040.csv","Leucadendron elimense",252000,252000,252000,252000,252000,252000
"78","Leucadendron elimense_total_curr_2070.csv","Leucadendron elimense",252000,252000,252000,252000,252000,252000
"79","Leucadendron eucalyptifolium_total_curr_2010.csv","Leucadendron eucalyptifolium",252000,252000,252000,252000,252000,252000
"80","Leucadendron eucalyptifolium_total_curr_2040.csv","Leucadendron eucalyptifolium",252000,252000,252000,252000,252000,252000
"81","Leucadendron eucalyptifolium_total_curr_2070.csv","Leucadendron eucalyptifolium",252000,252000,252000,252000,252000,252000
"82","Leucadendron floridum_total_curr_2010.csv","Leucadendron floridum",252000,252000,252000,252000,252000,252000
"83","Leucadendron floridum_total_curr_2040.csv","Leucadendron floridum",252000,252000,252000,252000,252000,252000
"84","Leucadendron floridum_total_curr_2070.csv","Leucadendron floridum",252000,252000,252000,252000,252000,252000
"85","Leucadendron foedum_total_curr_2010.csv","Leucadendron foedum",252000,252000,252000,252000,252000,252000
"86","Leucadendron foedum_total_curr_2040.csv","Leucadendron foedum",252000,252000,252000,252000,252000,252000
"87","Leucadendron foedum_total_curr_2070.csv","Leucadendron foedum",252000,252000,252000,252000,252000,252000
"88","Leucadendron galpinii_total_curr_2010.csv","Leucadendron galpinii",252000,252000,252000,252000,252000,252000
"89","Leucadendron galpinii_total_curr_2040.csv","Leucadendron galpinii",252000,252000,252000,252000,252000,252000
"90","Leucadendron galpinii_total_curr_2070.csv","Leucadendron galpinii",252000,252000,252000,252000,252000,252000
"91","Leucadendron glaberrimum_total_curr_2010.csv","Leucadendron glaberrimum",252000,252000,252000,252000,252000,252000
"92","Leucadendron glaberrimum_total_curr_2040.csv","Leucadendron glaberrimum",252000,252000,252000,252000,252000,252000
"93","Leucadendron glaberrimum_total_curr_2070.csv","Leucadendron glaberrimum",252000,252000,252000,252000,252000,252000
"94","Leucadendron globosum_total_curr_2010.csv","Leucadendron globosum",252000,252000,252000,252000,252000,252000
"95","Leucadendron globosum_total_curr_2040.csv","Leucadendron globosum",252000,252000,252000,252000,252000,252000
"96","Leucadendron globosum_total_curr_2070.csv","Leucadendron globosum",252000,252000,252000,252000,252000,252000
"97","Leucadendron gydoense_total_curr_2010.csv","Leucadendron gydoense",252000,252000,252000,252000,252000,252000
"98","Leucadendron gydoense_total_curr_2040.csv","Leucadendron gydoense",252000,252000,252000,252000,252000,252000
"99","Leucadendron gydoense_total_curr_2070.csv","Leucadendron gydoense",252000,252000,252000,252000,252000,252000
"100","Leucadendron lanigerum_total_curr_2010.csv","Leucadendron lanigerum",252000,252000,252000,252000,252000,252000
"101","Leucadendron lanigerum_total_curr_2040.csv","Leucadendron lanigerum",252000,252000,252000,252000,252000,252000
"102","Leucadendron lanigerum_total_curr_2070.csv","Leucadendron lanigerum",252000,252000,252000,252000,252000,252000
"103","Leucadendron laxum_total_curr_2010.csv","Leucadendron laxum",252000,252000,252000,252000,252000,252000
"104","Leucadendron laxum_total_curr_2040.csv","Leucadendron laxum",252000,252000,252000,252000,252000,252000
"105","Leucadendron laxum_total_curr_2070.csv","Leucadendron laxum",252000,252000,252000,252000,252000,252000
"106","Leucadendron levisanus_total_curr_2010.csv","Leucadendron levisanus",252000,252000,252000,252000,252000,252000
"107","Leucadendron levisanus_total_curr_2040.csv","Leucadendron levisanus",252000,252000,252000,252000,252000,252000
"108","Leucadendron levisanus_total_curr_2070.csv","Leucadendron levisanus",252000,252000,252000,252000,252000,252000
"109","Leucadendron linifolium_total_curr_2010.csv","Leucadendron linifolium",252000,252000,252000,252000,252000,252000
"110","Leucadendron linifolium_total_curr_2040.csv","Leucadendron linifolium",252000,252000,252000,252000,252000,252000
"111","Leucadendron linifolium_total_curr_2070.csv","Leucadendron linifolium",252000,252000,252000,252000,252000,252000
