"","x","y","Leucadendron_argenteum_current_bin_50","Leucadendron_argenteum_cc2040_bin_50","layer"
"106",19.0125,-31.5791666666667,0,0,"1"
"107",19.0208333333333,-31.5791666666667,0,0,"1"
"108",19.0291666666667,-31.5791666666667,0,0,"1"
"109",19.0375,-31.5791666666667,0,0,"1"
"110",19.0458333333333,-31.5791666666667,0,0,"1"
"111",19.0541666666667,-31.5791666666667,0,0,"1"
"112",19.0625,-31.5791666666667,0,0,"1"
"113",19.0708333333333,-31.5791666666667,0,0,"1"
"114",19.0791666666667,-31.5791666666667,0,0,"1"
"115",19.0875,-31.5791666666667,0,0,"1"
"116",18.9625,-31.5875,0,0,"1"
"117",18.9708333333333,-31.5875,0,0,"1"
"118",18.9875,-31.5875,0,0,"1"
"119",18.9958333333333,-31.5875,0,0,"1"
"120",19.0041666666667,-31.5875,0,0,"1"
"121",19.0125,-31.5875,0,0,"1"
"122",19.0208333333333,-31.5875,0,0,"1"
"123",19.0291666666667,-31.5875,0,0,"1"
"124",19.0375,-31.5875,0,0,"1"
"125",19.0458333333333,-31.5875,0,0,"1"
"126",19.0541666666667,-31.5875,0,0,"1"
"127",19.0625,-31.5875,0,0,"1"
"128",19.0708333333333,-31.5875,0,0,"1"
"129",19.0791666666667,-31.5875,0,0,"1"
"130",19.0875,-31.5875,0,0,"1"
"131",18.9625,-31.5958333333333,0,0,"1"
"132",18.9708333333333,-31.5958333333333,0,0,"1"
"133",18.9791666666667,-31.5958333333333,0,0,"1"
"134",18.9875,-31.5958333333333,0,0,"1"
"135",18.9958333333333,-31.5958333333333,0,0,"1"
"136",19.0041666666667,-31.5958333333333,0,0,"1"
"137",19.0125,-31.5958333333333,0,0,"1"
"138",19.0208333333333,-31.5958333333333,0,0,"1"
"139",19.0291666666667,-31.5958333333333,0,0,"1"
"140",19.0375,-31.5958333333333,0,0,"1"
"141",19.0458333333333,-31.5958333333333,0,0,"1"
"142",19.0541666666667,-31.5958333333333,0,0,"1"
"143",19.0625,-31.5958333333333,0,0,"1"
"144",19.0708333333333,-31.5958333333333,0,0,"1"
"145",19.0791666666667,-31.5958333333333,0,0,"1"
"146",19.0875,-31.5958333333333,0,0,"1"
"147",18.9708333333333,-31.6041666666667,0,0,"1"
"148",18.9791666666667,-31.6041666666667,0,0,"1"
"149",18.9875,-31.6041666666667,0,0,"1"
"150",18.9958333333333,-31.6041666666667,0,0,"1"
"151",19.0041666666667,-31.6041666666667,0,0,"1"
"152",19.0125,-31.6041666666667,0,0,"1"
"153",19.0208333333333,-31.6041666666667,0,0,"1"
"154",19.0291666666667,-31.6041666666667,0,0,"1"
"155",19.0375,-31.6041666666667,0,0,"1"
"156",19.0458333333333,-31.6041666666667,0,0,"1"
"157",19.0541666666667,-31.6041666666667,0,0,"1"
"158",19.0625,-31.6041666666667,0,0,"1"
"159",19.0708333333333,-31.6041666666667,0,0,"1"
"160",19.0791666666667,-31.6041666666667,0,0,"1"
"161",18.9708333333333,-31.6125,0,0,"1"
"162",18.9791666666667,-31.6125,0,0,"1"
"163",18.9875,-31.6125,0,0,"1"
"164",18.9958333333333,-31.6125,0,0,"1"
"165",19.0041666666667,-31.6125,0,0,"1"
"166",19.0125,-31.6125,0,0,"1"
"167",19.0208333333333,-31.6125,0,0,"1"
"168",19.0291666666667,-31.6125,0,0,"1"
"169",19.0375,-31.6125,0,0,"1"
"170",19.0458333333333,-31.6125,0,0,"1"
"171",19.0541666666667,-31.6125,0,0,"1"
"172",19.0625,-31.6125,0,0,"1"
"173",19.0708333333333,-31.6125,0,0,"1"
"174",19.0791666666667,-31.6125,0,0,"1"
"175",18.9791666666667,-31.6208333333333,0,0,"1"
"176",18.9875,-31.6208333333333,0,0,"1"
"177",18.9958333333333,-31.6208333333333,0,0,"1"
"178",19.0041666666667,-31.6208333333333,0,0,"1"
"179",19.0125,-31.6208333333333,0,0,"1"
"180",19.0208333333333,-31.6208333333333,0,0,"1"
"181",19.0291666666667,-31.6208333333333,0,0,"1"
"182",19.0375,-31.6208333333333,0,0,"1"
"183",19.0458333333333,-31.6208333333333,0,0,"1"
"184",19.0541666666667,-31.6208333333333,0,0,"1"
"185",19.0625,-31.6208333333333,0,0,"1"
"186",19.0708333333333,-31.6208333333333,0,0,"1"
"187",18.9791666666667,-31.6291666666667,0,0,"1"
"188",18.9875,-31.6291666666667,0,0,"1"
"189",18.9958333333333,-31.6291666666667,0,0,"1"
"190",19.0041666666667,-31.6291666666667,0,0,"1"
"191",19.0125,-31.6291666666667,0,0,"1"
"192",19.0208333333333,-31.6291666666667,0,0,"1"
"193",19.0291666666667,-31.6291666666667,0,0,"1"
"194",19.0375,-31.6291666666667,0,0,"1"
"195",19.0458333333333,-31.6291666666667,0,0,"1"
"196",19.0541666666667,-31.6291666666667,0,0,"1"
"197",19.0625,-31.6291666666667,0,0,"1"
"198",19.0708333333333,-31.6291666666667,0,0,"1"
"199",18.9791666666667,-31.6375,0,0,"1"
"200",18.9875,-31.6375,0,0,"1"
"201",18.9958333333333,-31.6375,0,0,"1"
"202",19.0041666666667,-31.6375,0,0,"1"
"203",19.0125,-31.6375,0,0,"1"
"204",19.0208333333333,-31.6375,0,0,"1"
"205",19.0291666666667,-31.6375,0,0,"1"
"206",19.0375,-31.6375,0,0,"1"
"207",19.0458333333333,-31.6375,0,0,"1"
"208",19.0541666666667,-31.6375,0,0,"1"
"209",19.0625,-31.6375,0,0,"1"
"210",19.0708333333333,-31.6375,0,0,"1"
"211",18.9791666666667,-31.6458333333333,0,0,"1"
"212",18.9875,-31.6458333333333,0,0,"1"
"213",18.9958333333333,-31.6458333333333,0,0,"1"
"214",19.0041666666667,-31.6458333333333,0,0,"1"
"215",19.0125,-31.6458333333333,0,0,"1"
"216",19.0208333333333,-31.6458333333333,0,0,"1"
"217",19.0291666666667,-31.6458333333333,0,0,"1"
"218",19.0375,-31.6458333333333,0,0,"1"
"219",19.0458333333333,-31.6458333333333,0,0,"1"
"220",19.0541666666667,-31.6458333333333,0,0,"1"
"221",19.0625,-31.6458333333333,0,0,"1"
"222",19.0708333333333,-31.6458333333333,0,0,"1"
"223",18.9791666666667,-31.6541666666667,0,0,"1"
"224",18.9875,-31.6541666666667,0,0,"1"
"225",18.9958333333333,-31.6541666666667,0,0,"1"
"226",19.0041666666667,-31.6541666666667,0,0,"1"
"227",19.0125,-31.6541666666667,0,0,"1"
"228",19.0208333333333,-31.6541666666667,0,0,"1"
"229",19.0291666666667,-31.6541666666667,0,0,"1"
"230",19.0375,-31.6541666666667,0,0,"1"
"231",19.0458333333333,-31.6541666666667,0,0,"1"
"232",19.0541666666667,-31.6541666666667,0,0,"1"
"233",19.0625,-31.6541666666667,0,0,"1"
"234",19.0708333333333,-31.6541666666667,0,0,"1"
"235",18.3708333333333,-31.6625,0,0,"1"
"236",18.3791666666667,-31.6625,0,0,"1"
"237",18.9708333333333,-31.6625,0,0,"1"
"238",18.9791666666667,-31.6625,0,0,"1"
"239",18.9875,-31.6625,0,0,"1"
"240",18.9958333333333,-31.6625,0,0,"1"
"241",19.0041666666667,-31.6625,0,0,"1"
"242",19.0125,-31.6625,0,0,"1"
"243",19.0208333333333,-31.6625,0,0,"1"
"244",19.0291666666667,-31.6625,0,0,"1"
"245",19.0375,-31.6625,0,0,"1"
"246",19.0458333333333,-31.6625,0,0,"1"
"247",19.0541666666667,-31.6625,0,0,"1"
"248",19.0625,-31.6625,0,0,"1"
"249",19.0708333333333,-31.6625,0,0,"1"
"250",18.3541666666667,-31.6708333333333,0,0,"1"
"251",18.3625,-31.6708333333333,0,0,"1"
"252",18.3708333333333,-31.6708333333333,0,0,"1"
"253",18.3791666666667,-31.6708333333333,0,0,"1"
"254",18.9708333333333,-31.6708333333333,0,0,"1"
"255",18.9791666666667,-31.6708333333333,0,0,"1"
"256",18.9875,-31.6708333333333,0,0,"1"
"257",18.9958333333333,-31.6708333333333,0,0,"1"
"258",19.0041666666667,-31.6708333333333,0,0,"1"
"259",19.0125,-31.6708333333333,0,0,"1"
"260",19.0208333333333,-31.6708333333333,0,0,"1"
"261",19.0291666666667,-31.6708333333333,0,0,"1"
"262",19.0375,-31.6708333333333,0,0,"1"
"263",19.0458333333333,-31.6708333333333,0,0,"1"
"264",19.0541666666667,-31.6708333333333,0,0,"1"
"265",18.3458333333333,-31.6791666666667,0,0,"1"
"266",18.3541666666667,-31.6791666666667,0,0,"1"
"267",18.3625,-31.6791666666667,0,0,"1"
"268",18.3708333333333,-31.6791666666667,0,0,"1"
"269",18.3791666666667,-31.6791666666667,0,0,"1"
"270",18.3875,-31.6791666666667,0,0,"1"
"271",18.7875,-31.6791666666667,0,0,"1"
"272",18.7958333333333,-31.6791666666667,0,0,"1"
"273",18.8041666666667,-31.6791666666667,0,0,"1"
"274",18.8125,-31.6791666666667,0,0,"1"
"275",18.8208333333333,-31.6791666666667,0,0,"1"
"276",18.9875,-31.6791666666667,0,0,"1"
"277",18.9958333333333,-31.6791666666667,0,0,"1"
"278",19.0041666666667,-31.6791666666667,0,0,"1"
"279",19.0125,-31.6791666666667,0,0,"1"
"280",19.0208333333333,-31.6791666666667,0,0,"1"
"281",19.0291666666667,-31.6791666666667,0,0,"1"
"282",19.0375,-31.6791666666667,0,0,"1"
"283",19.0458333333333,-31.6791666666667,0,0,"1"
"284",19.0541666666667,-31.6791666666667,0,0,"1"
"285",18.3458333333333,-31.6875,0,0,"1"
"286",18.3541666666667,-31.6875,0,0,"1"
"287",18.3625,-31.6875,0,0,"1"
"288",18.3708333333333,-31.6875,0,0,"1"
"289",18.3791666666667,-31.6875,0,0,"1"
"290",18.3875,-31.6875,0,0,"1"
"291",18.3958333333333,-31.6875,0,0,"1"
"292",18.4041666666667,-31.6875,0,0,"1"
"293",18.7791666666667,-31.6875,0,0,"1"
"294",18.7875,-31.6875,0,0,"1"
"295",18.7958333333333,-31.6875,0,0,"1"
"296",18.8041666666667,-31.6875,0,0,"1"
"297",18.8125,-31.6875,0,0,"1"
"298",18.8208333333333,-31.6875,0,0,"1"
"299",18.8291666666667,-31.6875,0,0,"1"
"300",18.8375,-31.6875,0,0,"1"
"301",18.9875,-31.6875,0,0,"1"
"302",18.9958333333333,-31.6875,0,0,"1"
"303",19.0041666666667,-31.6875,0,0,"1"
"304",19.0125,-31.6875,0,0,"1"
"305",19.0208333333333,-31.6875,0,0,"1"
"306",19.0291666666667,-31.6875,0,0,"1"
"307",19.0375,-31.6875,0,0,"1"
"308",19.0458333333333,-31.6875,0,0,"1"
"309",19.0541666666667,-31.6875,0,0,"1"
"310",18.3458333333333,-31.6958333333333,0,0,"1"
"311",18.3541666666667,-31.6958333333333,0,0,"1"
"312",18.3625,-31.6958333333333,0,0,"1"
"313",18.3708333333333,-31.6958333333333,0,0,"1"
"314",18.3791666666667,-31.6958333333333,0,0,"1"
"315",18.3875,-31.6958333333333,0,0,"1"
"316",18.3958333333333,-31.6958333333333,0,0,"1"
"317",18.7875,-31.6958333333333,0,0,"1"
"318",18.7958333333333,-31.6958333333333,0,0,"1"
"319",18.8041666666667,-31.6958333333333,0,0,"1"
"320",18.8125,-31.6958333333333,0,0,"1"
"321",18.8208333333333,-31.6958333333333,0,0,"1"
"322",18.8291666666667,-31.6958333333333,0,0,"1"
"323",18.8375,-31.6958333333333,0,0,"1"
"324",18.8458333333333,-31.6958333333333,0,0,"1"
"325",18.8541666666667,-31.6958333333333,0,0,"1"
"326",18.9875,-31.6958333333333,0,0,"1"
"327",19.0041666666667,-31.6958333333333,0,0,"1"
"328",19.0125,-31.6958333333333,0,0,"1"
"329",19.0208333333333,-31.6958333333333,0,0,"1"
"330",19.0291666666667,-31.6958333333333,0,0,"1"
"331",19.0375,-31.6958333333333,0,0,"1"
"332",19.0458333333333,-31.6958333333333,0,0,"1"
"333",19.0541666666667,-31.6958333333333,0,0,"1"
"334",18.3458333333333,-31.7041666666667,0,0,"1"
"335",18.3541666666667,-31.7041666666667,0,0,"1"
"336",18.3625,-31.7041666666667,0,0,"1"
"337",18.3708333333333,-31.7041666666667,0,0,"1"
"338",18.3791666666667,-31.7041666666667,0,0,"1"
"339",18.3875,-31.7041666666667,0,0,"1"
"340",18.7958333333333,-31.7041666666667,0,0,"1"
"341",18.8041666666667,-31.7041666666667,0,0,"1"
"342",18.8125,-31.7041666666667,0,0,"1"
"343",18.8208333333333,-31.7041666666667,0,0,"1"
"344",18.8291666666667,-31.7041666666667,0,0,"1"
"345",18.8375,-31.7041666666667,0,0,"1"
"346",18.8458333333333,-31.7041666666667,0,0,"1"
"347",18.8541666666667,-31.7041666666667,0,0,"1"
"348",18.8625,-31.7041666666667,0,0,"1"
"349",18.9958333333333,-31.7041666666667,0,0,"1"
"350",19.0041666666667,-31.7041666666667,0,0,"1"
"351",19.0125,-31.7041666666667,0,0,"1"
"352",19.0208333333333,-31.7041666666667,0,0,"1"
"353",19.0291666666667,-31.7041666666667,0,0,"1"
"354",19.0375,-31.7041666666667,0,0,"1"
"355",19.0458333333333,-31.7041666666667,0,0,"1"
"356",19.0541666666667,-31.7041666666667,0,0,"1"
"357",19.0625,-31.7041666666667,0,0,"1"
"358",18.3458333333333,-31.7125,0,0,"1"
"359",18.3541666666667,-31.7125,0,0,"1"
"360",18.3625,-31.7125,0,0,"1"
"361",18.3708333333333,-31.7125,0,0,"1"
"362",18.3791666666667,-31.7125,0,0,"1"
"363",18.7958333333333,-31.7125,0,0,"1"
"364",18.8041666666667,-31.7125,0,0,"1"
"365",18.8125,-31.7125,0,0,"1"
"366",18.8208333333333,-31.7125,0,0,"1"
"367",18.8291666666667,-31.7125,0,0,"1"
"368",18.8375,-31.7125,0,0,"1"
"369",18.8458333333333,-31.7125,0,0,"1"
"370",18.8541666666667,-31.7125,0,0,"1"
"371",18.8625,-31.7125,0,0,"1"
"372",18.8708333333333,-31.7125,0,0,"1"
"373",18.9958333333333,-31.7125,0,0,"1"
"374",19.0041666666667,-31.7125,0,0,"1"
"375",19.0125,-31.7125,0,0,"1"
"376",19.0208333333333,-31.7125,0,0,"1"
"377",19.0291666666667,-31.7125,0,0,"1"
"378",19.0375,-31.7125,0,0,"1"
"379",19.0458333333333,-31.7125,0,0,"1"
"380",19.0541666666667,-31.7125,0,0,"1"
"381",19.0625,-31.7125,0,0,"1"
"382",19.0708333333333,-31.7125,0,0,"1"
"383",18.3458333333333,-31.7208333333333,0,0,"1"
"384",18.3541666666667,-31.7208333333333,0,0,"1"
"385",18.3625,-31.7208333333333,0,0,"1"
"386",18.3708333333333,-31.7208333333333,0,0,"1"
"387",18.6875,-31.7208333333333,0,0,"1"
"388",18.7958333333333,-31.7208333333333,0,0,"1"
"389",18.8041666666667,-31.7208333333333,0,0,"1"
"390",18.8125,-31.7208333333333,0,0,"1"
"391",18.8208333333333,-31.7208333333333,0,0,"1"
"392",18.8291666666667,-31.7208333333333,0,0,"1"
"393",18.8375,-31.7208333333333,0,0,"1"
"394",18.8458333333333,-31.7208333333333,0,0,"1"
"395",18.8541666666667,-31.7208333333333,0,0,"1"
"396",18.8625,-31.7208333333333,0,0,"1"
"397",18.8708333333333,-31.7208333333333,0,0,"1"
"398",18.8791666666667,-31.7208333333333,0,0,"1"
"399",18.9875,-31.7208333333333,0,0,"1"
"400",18.9958333333333,-31.7208333333333,0,0,"1"
"401",19.0041666666667,-31.7208333333333,0,0,"1"
"402",19.0125,-31.7208333333333,0,0,"1"
"403",19.0208333333333,-31.7208333333333,0,0,"1"
"404",19.0291666666667,-31.7208333333333,0,0,"1"
"405",19.0375,-31.7208333333333,0,0,"1"
"406",19.0458333333333,-31.7208333333333,0,0,"1"
"407",19.0541666666667,-31.7208333333333,0,0,"1"
"408",19.0625,-31.7208333333333,0,0,"1"
"409",19.0708333333333,-31.7208333333333,0,0,"1"
"410",18.3458333333333,-31.7291666666667,0,0,"1"
"411",18.3541666666667,-31.7291666666667,0,0,"1"
"412",18.3625,-31.7291666666667,0,0,"1"
"413",18.3708333333333,-31.7291666666667,0,0,"1"
"414",18.6875,-31.7291666666667,0,0,"1"
"415",18.6958333333333,-31.7291666666667,0,0,"1"
"416",18.7875,-31.7291666666667,0,0,"1"
"417",18.7958333333333,-31.7291666666667,0,0,"1"
"418",18.8041666666667,-31.7291666666667,0,0,"1"
"419",18.8125,-31.7291666666667,0,0,"1"
"420",18.8208333333333,-31.7291666666667,0,0,"1"
"421",18.8291666666667,-31.7291666666667,0,0,"1"
"422",18.8375,-31.7291666666667,0,0,"1"
"423",18.8458333333333,-31.7291666666667,0,0,"1"
"424",18.8541666666667,-31.7291666666667,0,0,"1"
"425",18.8625,-31.7291666666667,0,0,"1"
"426",18.8708333333333,-31.7291666666667,0,0,"1"
"427",18.8791666666667,-31.7291666666667,0,0,"1"
"428",18.8875,-31.7291666666667,0,0,"1"
"429",18.9375,-31.7291666666667,0,0,"1"
"430",18.9458333333333,-31.7291666666667,0,0,"1"
"431",18.9541666666667,-31.7291666666667,0,0,"1"
"432",18.9625,-31.7291666666667,0,0,"1"
"433",18.9708333333333,-31.7291666666667,0,0,"1"
"434",18.9791666666667,-31.7291666666667,0,0,"1"
"435",18.9875,-31.7291666666667,0,0,"1"
"436",18.9958333333333,-31.7291666666667,0,0,"1"
"437",19.0041666666667,-31.7291666666667,0,0,"1"
"438",19.0125,-31.7291666666667,0,0,"1"
"439",19.0208333333333,-31.7291666666667,0,0,"1"
"440",19.0291666666667,-31.7291666666667,0,0,"1"
"441",19.0375,-31.7291666666667,0,0,"1"
"442",19.0458333333333,-31.7291666666667,0,0,"1"
"443",19.0541666666667,-31.7291666666667,0,0,"1"
"444",19.0625,-31.7291666666667,0,0,"1"
"445",19.0708333333333,-31.7291666666667,0,0,"1"
"446",19.0791666666667,-31.7291666666667,0,0,"1"
"447",18.3458333333333,-31.7375,0,0,"1"
"448",18.3541666666667,-31.7375,0,0,"1"
"449",18.3625,-31.7375,0,0,"1"
"450",18.3708333333333,-31.7375,0,0,"1"
"451",18.6875,-31.7375,0,0,"1"
"452",18.6958333333333,-31.7375,0,0,"1"
"453",18.7041666666667,-31.7375,0,0,"1"
"454",18.7791666666667,-31.7375,0,0,"1"
"455",18.7875,-31.7375,0,0,"1"
"456",18.7958333333333,-31.7375,0,0,"1"
"457",18.8041666666667,-31.7375,0,0,"1"
"458",18.8125,-31.7375,0,0,"1"
"459",18.8208333333333,-31.7375,0,0,"1"
"460",18.8291666666667,-31.7375,0,0,"1"
"461",18.8375,-31.7375,0,0,"1"
"462",18.8458333333333,-31.7375,0,0,"1"
"463",18.8541666666667,-31.7375,0,0,"1"
"464",18.8625,-31.7375,0,0,"1"
"465",18.8708333333333,-31.7375,0,0,"1"
"466",18.8791666666667,-31.7375,0,0,"1"
"467",18.8875,-31.7375,0,0,"1"
"468",18.9375,-31.7375,0,0,"1"
"469",18.9458333333333,-31.7375,0,0,"1"
"470",18.9541666666667,-31.7375,0,0,"1"
