"","filename","species","current","cc","cn","gf","he","mp"
"314","Protea acaulos_presence_curr_2040.csv","Protea acaulos",15655,13216,12845,12353,13037,11055
"315","Protea acaulos_presence_curr_2070.csv","Protea acaulos",15655,11509,11066,9766,11219,8100
"316","Protea acuminata_presence_curr_2010.csv","Protea acuminata",13923,12425,11677,12532,11977,11759
"317","Protea acuminata_presence_curr_2040.csv","Protea acuminata",13923,8275,5959,8725,6928,6682
"318","Protea acuminata_presence_curr_2070.csv","Protea acuminata",13923,4112,831,5114,2132,1749
"319","Protea angustata_presence_curr_2010.csv","Protea angustata",15466,14804,14830,14174,14573,14722
"320","Protea angustata_presence_curr_2040.csv","Protea angustata",15466,12706,12610,9751,11163,11401
"321","Protea angustata_presence_curr_2070.csv","Protea angustata",15466,10477,10060,6202,7919,7882
"322","Protea aspera_presence_curr_2010.csv","Protea aspera",4827,4519,4290,4132,4211,4250
"323","Protea aspera_presence_curr_2040.csv","Protea aspera",4827,3329,2593,1970,2175,2392
"324","Protea aspera_presence_curr_2070.csv","Protea aspera",4827,1854,1051,140,296,464
"325","Protea aurea_presence_curr_2010.csv","Protea aurea",32845,30897,30461,30446,29853,29864
"326","Protea aurea_presence_curr_2040.csv","Protea aurea",32845,21692,20641,20704,18620,17619
"327","Protea aurea_presence_curr_2070.csv","Protea aurea",32845,28243,23913,29242,18454,17423
"328","Protea burchellii_presence_curr_2010.csv","Protea burchellii",11953,11466,11379,11355,11467,10910
"329","Protea burchellii_presence_curr_2040.csv","Protea burchellii",11953,6799,6354,5980,6331,5110
"330","Protea burchellii_presence_curr_2070.csv","Protea burchellii",11953,3903,3244,2514,2802,1461
"331","Protea caespitosa_presence_curr_2010.csv","Protea caespitosa",4380,3597,3467,3178,3266,3310
"332","Protea caespitosa_presence_curr_2040.csv","Protea caespitosa",4380,1850,1547,1028,1228,1294
"333","Protea caespitosa_presence_curr_2070.csv","Protea caespitosa",4380,907,620,298,428,461
"334","Protea compacta_presence_curr_2010.csv","Protea compacta",8303,9059,8632,8211,8487,8944
"335","Protea compacta_presence_curr_2040.csv","Protea compacta",8303,10828,9211,7601,8637,10057
"336","Protea compacta_presence_curr_2070.csv","Protea compacta",8303,12266,9914,6771,8934,10330
"337","Protea convexa_presence_curr_2010.csv","Protea convexa",8852,7059,7274,6840,6706,7013
"338","Protea convexa_presence_curr_2040.csv","Protea convexa",8852,2775,3227,2310,1909,2641
"339","Protea convexa_presence_curr_2070.csv","Protea convexa",8852,2270,4427,604,78,1811
"340","Protea coronata_presence_curr_2010.csv","Protea coronata",16237,15701,15173,14178,14310,13817
"341","Protea coronata_presence_curr_2040.csv","Protea coronata",16237,12903,9563,8490,8197,7318
"342","Protea coronata_presence_curr_2070.csv","Protea coronata",16237,9966,5775,4668,3945,3640
"343","Protea cryophila_presence_curr_2010.csv","Protea cryophila",11167,9452,9134,9098,8997,9127
"344","Protea cryophila_presence_curr_2040.csv","Protea cryophila",11167,4842,3708,4214,3645,3907
"345","Protea cryophila_presence_curr_2070.csv","Protea cryophila",11167,1643,842,1269,905,971
"346","Protea cynaroides_presence_curr_2010.csv","Protea cynaroides",14969,14302,14261,13513,13716,13634
"347","Protea cynaroides_presence_curr_2040.csv","Protea cynaroides",14969,11722,11901,9059,9731,9518
"348","Protea cynaroides_presence_curr_2070.csv","Protea cynaroides",14969,10328,10235,6519,7279,7264
"349","Protea decurrens_presence_curr_2010.csv","Protea decurrens",12445,14666,14839,14125,15067,14113
"350","Protea decurrens_presence_curr_2040.csv","Protea decurrens",12445,18345,17690,16297,17881,16319
"351","Protea decurrens_presence_curr_2070.csv","Protea decurrens",12445,24475,21819,17865,22159,18697
"352","Protea denticulata_presence_curr_2010.csv","Protea denticulata",4057,3866,3844,3519,3502,3469
"353","Protea denticulata_presence_curr_2040.csv","Protea denticulata",4057,3325,3362,2239,2349,1964
"354","Protea denticulata_presence_curr_2070.csv","Protea denticulata",4057,2993,3123,1396,1582,1302
"355","Protea effusa_presence_curr_2010.csv","Protea effusa",7342,6130,6221,5518,5887,5856
"356","Protea effusa_presence_curr_2040.csv","Protea effusa",7342,2979,3239,2032,2339,2547
"357","Protea effusa_presence_curr_2070.csv","Protea effusa",7342,1422,2140,757,780,1154
"358","Protea glabra_presence_curr_2010.csv","Protea glabra",12212,10656,10003,11039,10157,10299
"359","Protea glabra_presence_curr_2040.csv","Protea glabra",12212,6640,3582,7506,4889,5156
"360","Protea glabra_presence_curr_2070.csv","Protea glabra",12212,5527,282,5328,1359,1286
"361","Protea grandiceps_presence_curr_2010.csv","Protea grandiceps",19523,17338,16638,15844,16173,16034
"362","Protea grandiceps_presence_curr_2040.csv","Protea grandiceps",19523,12149,10571,8647,9365,9126
"363","Protea grandiceps_presence_curr_2070.csv","Protea grandiceps",19523,9204,6626,3897,4903,4664
"364","Protea lacticolor_presence_curr_2010.csv","Protea lacticolor",4229,3909,3821,3622,3775,3697
"365","Protea lacticolor_presence_curr_2040.csv","Protea lacticolor",4229,3048,2817,1928,2551,2092
